Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/assistente/analisar,400,0,4,148.58087675005663,1.3427000085357577,7807.2802000097,192.8875,6.806665909262238,0.0,4,5,6,7,10,21,3600,6700,7800,7800,7800
GET,/api/blockchain-info,562,559,4,75.41558576550574,1.1437000066507608,7158.367900003213,66.53914590747331,9.563365602513445,9.512315608193978,4,5,6,7,9,15,890,3600,7200,7200,7200
GET,/api/complaints,567,562,4,105.56121305127282,0.9757000079844147,6998.0031000159215,2665.9082892416227,9.648448926379222,9.563365602513445,4,5,6,6,9,18,890,5900,7000,7000,7000
GET,/api/health,761,754,4,117.41045519064637,1.1722999915946275,7799.41389997839,65.84362680683311,12.949681892371409,12.830565238959318,4,5,6,7,10,24,1900,5900,7800,7800,7800
GET,/api/security/posture,202,201,4,28.672744060974882,1.2374999932944775,2840.141599997878,71.2128712871287,3.4373662841774304,3.420349619404275,4,5,6,7,10,19,44,890,2800,2800,2800
GET,/api/security/threat-model,204,204,4,110.98368333492259,1.4433999895118177,6849.625500006368,66.0,3.4713996137237415,3.4713996137237415,4,5,7,7,10,14,44,4900,6800,6800,6800
GET,/api/stats,398,395,4,128.28726658302747,1.0360000014770776,7807.235699990997,67.87688442211055,6.772632579715927,6.72158258539646,4,5,6,7,10,18,1900,5900,7800,7800,7800
POST,/api/submit-complaint,797,0,5,217.35367051444345,1.197900011902675,52098.29049999826,66.19824341279799,13.562281824205009,0.0,5,6,6,7,10,20,2900,5900,52000,52000,52000
,Aggregated,3891,2675,4,129.46292657442507,0.9757000079844147,52098.29049999826,458.45566692367,66.21184263234842,45.51957826819122,4,5,6,7,10,20,1900,4900,7800,52000,52000
